symbol,name,sector
JPM,JPMorgan Chase & Co.,Financials
BAC,Bank of America Corporation,Financials
WFC,Wells Fargo & Company,Financials
GS,The Goldman Sachs Group Inc.,Financials
MS,Morgan Stanley,Financials
BX,Blackstone Inc.,Financials
V,Visa Inc.,Financials
MA,Mastercard Incorporated,Financials
AXP,American Express Company,Financials
SPGI,S&P Global Inc.,Financials
MCO,Moody's Corporation,Financials
ICE,Intercontinental Exchange Inc.,Financials
CME,CME Group Inc.,Financials
BLK,BlackRock Inc.,Financials
C,Citigroup Inc.,Financials
USB,U.S. Bancorp,Financials
PNC,The PNC Financial Services Group Inc.,Financials
TFC,Truist Financial Corporation,Financials
COF,Capital One Financial Corporation,Financials
DFS,Discover Financial Services,Financials
AIG,American International Group Inc.,Financials
MET,MetLife Inc.,Financials
PRU,Prudential Financial Inc.,Financials
AFL,Aflac Incorporated,Financials
ALL,The Allstate Corporation,Financials
CB,Chubb Limited,Financials
MMC,Marsh & McLennan Companies Inc.,Financials
AON,Aon plc,Financials
AJG,Arthur J. Gallagher & Co.,Financials
WTW,Willis Towers Watson Public Limited Company,Financials
