symbol,name,sector
AAPL,Apple Inc.,Information Technology
MSFT,Microsoft Corporation,Information Technology
NVDA,NVIDIA Corporation,Information Technology
AVGO,Broadcom Inc.,Information Technology
AMD,Advanced Micro Devices Inc.,Information Technology
QCOM,QUALCOMM Incorporated,Information Technology
ORCL,Oracle Corporation,Information Technology
CRM,Salesforce Inc.,Information Technology
ADBE,Adobe Inc.,Information Technology
AMAT,Applied Materials Inc.,Information Technology
INTU,Intuit Inc.,Information Technology
CSCO,Cisco Systems Inc.,Information Technology
ACN,Accenture plc,Information Technology
TXN,Texas Instruments Incorporated,Information Technology
NOW,ServiceNow Inc.,Information Technology
LRCX,Lam Research Corporation,Information Technology
KLAC,KLA Corporation,Information Technology
MRVL,Marvell Technology Inc.,Information Technology
MU,Micron Technology Inc.,Information Technology
INTC,Intel Corporation,Information Technology
NXPI,NXP Semiconductors N.V.,Information Technology
STX,Seagate Technology Holdings plc,Information Technology
WDC,Western Digital Corporation,Information Technology
SWKS,Skyworks Solutions Inc.,Information Technology
QRVO,Qorvo Inc.,Information Technology
MPWR,Monolithic Power Systems Inc.,Information Technology
ON,ON Semiconductor Corporation,Information Technology
ENPH,Enphase Energy Inc.,Information Technology
KEYS,Keysight Technologies Inc.,Information Technology
CDNS,Cadence Design Systems Inc.,Information Technology
SNPS,Synopsys Inc.,Information Technology
ANSS,ANSYS Inc.,Information Technology
PTC,PTC Inc.,Information Technology
AKAM,Akamai Technologies Inc.,Information Technology
CTSH,Cognizant Technology Solutions,Information Technology
DXC,DXC Technology Company,Information Technology
IT,Gartner Inc.,Information Technology
GEN,Gen Digital Inc.,Information Technology
JNPR,Juniper Networks Inc.,Information Technology
HPE,Hewlett Packard Enterprise Company,Information Technology
HPQ,HP Inc.,Information Technology
DELL,Dell Technologies Inc.,Information Technology
ANET,Arista Networks Inc.,Information Technology
FFIV,F5 Inc.,Information Technology
JKHY,Jack Henry & Associates Inc.,Information Technology
